id,lat,lon,tags
5893045404,47.3719244,8.5411754,"check_date=2024-08-19 level=0 name=demuth opening_hours=mo-fr 10:00-12:00,14:30-18:30; sa 10:00-12:00,14:30-16:00; ph closed shop=jewelry wheelchair=no indoor fan hum"
5893045405,47.3716799,8.5413052,clothes=men level=0 name=anna opening_hours=mo-fr 11:00-19:00; sa 11:00-18:00; ph closed shop=clothes wheelchair=yes indoor fan hum
5893045406,47.3719028,8.5412134,"check_date=2024-08-19 level=0 name=parzival opening_hours=tu-fr 10:00-14:00,14:30-18:30; sa 10:00-17:00; ph closed shop=shoes wheelchair=no indoor fan hum"
5893045408,47.3715989,8.5413624,brand=aubade brand:wikidata=q2870536 check_date=2024-04-06 clothes=underwear level=0 name=aubade opening_hours=tu-fr 10:00-18:00; sa 10:00-17:00; ph off shop=clothes wheelchair=no indoor fan hum
5893045409,47.3717914,8.5411925,level=0 name=tonja shop=fashion_accessories website=https://www.tonjaconcept.ch/ wheelchair=no indoor fan hum
5893045412,47.3718222,8.5417441,"check_date=2023-12-09 level=0 name=arife opening_hours=mo,tu,th,fr 09:00-19:00; we 09:00-21:00; sa 09:00-17:00; ph closed shop=hairdresser unisex=yes wheelchair=no indoor fan hum"
5893045415,47.3718261,8.5416065,"check_date=2025-11-12 level=0 name=mörgeli rahmen opening_hours=tu-we 08:00-17:45; th-fr 08:00-12:00,13:30-17:45; sa 08:30-12:00; ph closed shop=frame wheelchair=limited indoor fan hum"
5893045416,47.371927,8.5415342,check_date=2025-11-12 clothes=women level=0 name=talbot runhof opening_hours=mo-sa 11:00-17:00 phone=+41 44 533 88 04 shop=clothes website=https://www.talbotrunhof.com/ wheelchair=no indoor fan hum
5893045417,47.3717747,8.5413853,brand=max mara brand:wikidata=q1151774 clothes=women level=0 name=max mara shop=clothes wheelchair=no indoor fan hum
7517001456,47.3715273,8.541413,addr:city=zürich addr:housenumber=1 addr:postcode=8001 addr:street=weggengasse check_date=2026-02-22 check_date:opening_hours=2026-02-22 clothes=men level=0 name=luca falconi opening_hours=mo-fr 10:00-19:00; sa 10:00-18:00 shop=clothes wheelchair=limited bird water leaves indoor fan hum
7815426575,47.3717327,8.5412474,clothes=women level=0 name=dixie shop=clothes wheelchair=no indoor fan hum
12050011843,47.3712331,8.5416559,addr:city=zürich addr:housenumber=2 addr:postcode=8001 addr:street=weinplatz amenity=bar name=cigar bar opening_hours=mo-su 07:00-00:00 operator=storchen operator:wikidata=q30592570 phone=+41 44 227 27 27 sells:tobacco=cigars smoking=yes tobacco=yes website=https://storchen.ch/de/restaurants-bars/cigar-bar bird water leaves talk laugh crowd music
