street_name,segment_id,total_segments,length_m,start_lat,start_lon,end_lat,end_lon
Pfingstweid,1,1,428.1,47.3867294,8.5126423,47.3887124,8.5158107
Bührlestrasse,1,1,140.2,47.4117528,8.5366359,47.4130021,8.5364228
Ulmbergtunnel,1,5,500.0,47.3696404,8.5336491,47.3668925,8.531225
Ulmbergtunnel,2,5,500.0,47.3668925,8.531225,47.36313,8.5275993
Ulmbergtunnel,3,5,500.0,47.36313,8.5275993,47.3651239,8.5263918
Ulmbergtunnel,4,5,500.0,47.3651239,8.5263918,47.3684317,8.5306137
Ulmbergtunnel,5,5,267.3,47.3684317,8.5306137,47.3696149,8.5336891
Süsslerenstrasse,1,1,136.6,47.3757425,8.4927583,47.3767589,8.4937279
Felsenkellerweg,1,1,381.7,47.3606843,8.5292331,47.3639787,8.5285901
Unknown,1,1,247.3,47.3794097,8.6253284,47.3809447,8.6276963
Dienerstrasse,1,1,466.8,47.3773043,8.5293061,47.3798534,8.524396
Islerstrasse,1,2,500.0,47.3509105,8.5134746,47.3534094,8.5185316
Islerstrasse,2,2,400.1,47.3534094,8.5185316,47.3563273,8.5208615
Unknown,1,8,500.0,47.4375657,8.4736399,47.4383656,8.4766798
Unknown,2,8,500.0,47.4383656,8.4766798,47.4344909,8.4733158
Unknown,3,8,500.0,47.4344909,8.4733158,47.4305536,8.4702211
Unknown,4,8,500.0,47.4305536,8.4702211,47.4318953,8.4709919
Unknown,5,8,500.0,47.4318953,8.4709919,47.4361873,8.4726366
Unknown,6,8,500.0,47.4361873,8.4726366,47.4346777,8.4722593
Unknown,7,8,500.0,47.4346777,8.4722593,47.4304542,8.4699833
Unknown,8,8,484.5,47.4304542,8.4699833,47.4317003,8.4708933
Unknown,1,1,173.4,47.3165995,8.550352,47.3153489,8.5512767
Unknown,1,1,264.3,47.4205631,8.6240063,47.4182078,8.6238143
Unknown,1,1,66.7,47.3425195,8.4708038,47.3428529,8.4715374
Unknown,1,5,500.0,47.3620488,8.6299998,47.361158,8.6343982
Unknown,2,5,500.0,47.361158,8.6343982,47.3624752,8.6280698
Unknown,3,5,500.0,47.3624752,8.6280698,47.363792,8.621741
Unknown,4,5,500.0,47.363792,8.621741,47.3629094,8.6246356
Unknown,5,5,460.2,47.3629094,8.6246356,47.3620488,8.6299998
Neustadtgasse,1,1,96.2,47.370089,8.5447984,47.3694676,8.545625
Unknown,1,2,500.0,47.4400869,8.6108438,47.4395747,8.6103575
Unknown,2,2,68.4,47.4395747,8.6103575,47.4400869,8.6108438
Unknown,1,1,282.6,47.4411133,8.457482,47.4434775,8.4588501
Irisstrasse,1,1,99.6,47.3716544,8.5551754,47.3721435,8.5562808
Unknown,1,1,225.6,47.3962387,8.4480548,47.3958504,8.4481316
Marienstrasse,1,1,58.6,47.374247,8.5177485,47.3745892,8.5183384
Unknown,1,1,201.6,47.3288253,8.4572396,47.3305797,8.4571498
Enzenried,1,1,205.2,47.3458859,8.5748971,47.3471629,8.5737245
Höcklerbrücke,1,2,500.0,47.3388563,8.5137201,47.3426433,8.5167117
Höcklerbrücke,2,2,298.3,47.3426433,8.5167117,47.3418758,8.5176634
Beckhammer,1,3,500.0,47.4022843,8.5402331,47.4012111,8.5409799
Beckhammer,2,3,500.0,47.4012111,8.5409799,47.4014704,8.540487
Beckhammer,3,3,88.2,47.4014704,8.540487,47.4020577,8.5397272
Unknown,1,3,500.0,47.387235,8.6208338,47.3835293,8.6176285
Unknown,2,3,500.0,47.3835293,8.6176285,47.3794278,8.6171861
Unknown,3,3,387.7,47.3794278,8.6171861,47.3791117,8.6156938
Geerlibuchweg,1,2,500.0,47.3535041,8.6172934,47.3499183,8.6153186
Geerlibuchweg,2,2,148.8,47.3499183,8.6153186,47.3487227,8.6160314
Unknown,1,2,500.0,47.4351093,8.6008294,47.4380026,8.6050557
Unknown,2,2,14.7,47.4380026,8.6050557,47.4381219,8.6051388
Möcklistrasse,1,1,330.8,47.3584218,8.5970107,47.3581161,8.5960245
Unknown,1,1,358.4,47.4424251,8.5695438,47.4408147,8.5662459
Starengasse,1,1,152.4,47.4173326,8.5467839,47.4185127,8.5477509
Unknown,1,2,500.0,47.3351166,8.617127,47.3376876,8.6118125
Unknown,2,2,153.4,47.3376876,8.6118125,47.3388755,8.6107798
Unknown,1,2,500.0,47.4454736,8.5003113,47.4437499,8.4943902
Unknown,2,2,439.7,47.4437499,8.4943902,47.441732,8.4896628
Guggachweg,1,1,187.1,47.39949,8.5317534,47.3986666,8.530033
Werdhölzlisteg,1,1,91.0,47.3999786,8.4846394,47.4004095,8.485664
Letzibachweg,1,2,500.0,47.3900625,8.4915044,47.3890299,8.4971254
Letzibachweg,2,2,125.0,47.3890299,8.4971254,47.3882937,8.4974657
Spatzenweg,1,1,56.6,47.4012654,8.5992055,47.4010139,8.5997737
Schwesternbungertweg,1,1,241.5,47.3957871,8.5689628,47.3976164,8.5705607
Unknown,1,1,268.0,47.4388432,8.46937,47.440438,8.4720344
Unknown,1,1,264.9,47.4397132,8.468274,47.4412884,8.4709088
Obstgartensteig,1,9,500.0,47.387727,8.5394871,47.3835865,8.5405277
Obstgartensteig,2,9,500.0,47.3835865,8.5405277,47.3793704,8.5428316
Obstgartensteig,3,9,500.0,47.3793704,8.5428316,47.3789168,8.5433123
Obstgartensteig,4,9,500.0,47.3789168,8.5433123,47.3778128,8.5442583
Obstgartensteig,5,9,500.0,47.3778128,8.5442583,47.3819422,8.5416362
Obstgartensteig,6,9,500.0,47.3819422,8.5416362,47.3836968,8.5406559
Obstgartensteig,7,9,500.0,47.3836968,8.5406559,47.3810605,8.5424651
Obstgartensteig,8,9,500.0,47.3810605,8.5424651,47.3853592,8.5405199
Obstgartensteig,9,9,336.3,47.3853592,8.5405199,47.387727,8.5394871
Kurvenstrasse,1,9,500.0,47.3832022,8.5434343,47.3864135,8.541735
Kurvenstrasse,2,9,500.0,47.3864135,8.541735,47.3862036,8.5417502
Kurvenstrasse,3,9,500.0,47.3862036,8.5417502,47.3829717,8.5434646
Kurvenstrasse,4,9,500.0,47.3829717,8.5434646,47.3784924,8.5440544
Kurvenstrasse,5,9,500.0,47.3784924,8.5440544,47.3799478,8.5441398
Kurvenstrasse,6,9,500.0,47.3799478,8.5441398,47.3843212,8.5427217
Kurvenstrasse,7,9,500.0,47.3843212,8.5427217,47.3885728,8.5405634
Kurvenstrasse,8,9,500.0,47.3885728,8.5405634,47.3910543,8.5390047
Kurvenstrasse,9,9,380.4,47.3910543,8.5390047,47.3889363,8.5403789
Felix-und-Regula-Platz,1,1,46.5,47.3815514,8.513571,47.3812563,8.5139753
Gagliardiweg,1,1,104.3,47.4063855,8.5495291,47.4072807,8.5496018
Gärtnerstrasse,1,1,104.0,47.3543206,8.5588844,47.3550589,8.5588953
Augustinerhof,1,1,95.6,47.371211,8.539841,47.3718214,8.5400143
Goldauerstrasse,1,1,448.9,47.3898733,8.5494465,47.3860446,8.5502425
Unknown,1,1,317.1,47.3195753,8.542529,47.3186058,8.5455644
Lybensteinweg,1,3,500.0,47.3652434,8.6060923,47.3643384,8.6113037
Lybensteinweg,2,3,500.0,47.3643384,8.6113037,47.3663023,8.6162267
Lybensteinweg,3,3,278.1,47.3663023,8.6162267,47.3685988,8.6150625
Unknown,1,1,171.0,47.370348,8.4593202,47.3700899,8.4612241
Unknown,1,1,326.3,47.4378966,8.4799857,47.4353337,8.4788539
Unknown,1,1,146.2,47.3260598,8.470791,47.3273541,8.4710539
Unknown,1,1,141.1,47.3156604,8.5973289,47.3144588,8.5979067
Arnikaweg,1,1,87.0,47.4149339,8.5307792,47.4147833,8.53191
Unknown,1,1,284.6,47.3246338,8.5481558,47.3222467,8.5493626
Irchelstrasse,1,1,349.6,47.3959698,8.5453936,47.3968638,8.5409548
Unknown,1,1,496.5,47.3971511,8.6180472,47.400073,8.6229635
Feldenmoosstrasse,1,2,500.0,47.3643407,8.4678861,47.3654897,8.4666313
Feldenmoosstrasse,2,2,338.5,47.3654897,8.4666313,47.3643364,8.4675707
Unknown,1,1,221.4,47.3443611,8.4703857,47.3458523,8.4689779
Mittelbergsteig,1,1,203.6,47.3796277,8.559709,47.3809094,8.56153
Brandweg,1,3,500.0,47.3623768,8.4703175,47.3621169,8.4752183
Brandweg,2,3,500.0,47.3621169,8.4752183,47.3639134,8.4706739
Brandweg,3,3,96.8,47.3639134,8.4706739,47.3642071,8.4694689
Unknown,1,1,473.2,47.3307577,8.6315291,47.3329851,8.6263645
Reckenholzstrasse,1,3,500.0,47.4209629,8.513673,47.4234631,8.5165558
Reckenholzstrasse,2,3,500.0,47.4234631,8.5165558,47.427411,8.5184296
Reckenholzstrasse,3,3,489.0,47.427411,8.5184296,47.4316309,8.5199271
Unknown,1,1,156.0,47.4000818,8.6294565,47.3988708,8.6284362
Unknown,1,3,500.0,47.4271371,8.46292,47.4258783,8.4584806
Unknown,2,3,500.0,47.4258783,8.4584806,47.4268051,8.4615408
Unknown,3,3,110.8,47.4268051,8.4615408,47.4271371,8.46292
Gubelhangstrasse,1,1,220.3,47.4096691,8.5439018,47.408183,8.5419712
Grosswiesenstrasse,1,2,500.0,47.4035841,8.5822194,47.4031153,8.5887456
Grosswiesenstrasse,2,2,134.1,47.4031153,8.5887456,47.4029866,8.5905118
Haselholzweg,1,1,206.2,47.3233628,8.5291648,47.3233464,8.531811
Unknown,1,1,158.2,47.4056023,8.628466,47.4049748,8.6265856
Hohmoos,1,1,151.5,47.3933935,8.5931538,47.3924186,8.594549
Kleinhölzliweg,1,1,142.4,47.3813206,8.5949101,47.3806851,8.5965111
Unknown,1,1,238.6,47.4430627,8.5256843,47.4438796,8.528515
Allmendsteg,1,1,472.4,47.3510609,8.5204365,47.3481728,8.5231094
Spitzackerstrasse,1,1,296.9,47.3977291,8.5385451,47.3969448,8.5372401
Unknown,1,1,189.6,47.4192572,8.5924872,47.4191721,8.5949852
Schwarzbächlistrasse,1,1,165.7,47.3222153,8.5170091,47.3219482,8.5149186
Fennergasse,1,1,67.9,47.3612118,8.5529991,47.3617992,8.5527543
Im Trumeter,1,2,500.0,47.4014158,8.5010319,47.398199,8.5031046
Im Trumeter,2,2,259.4,47.398199,8.5031046,47.3962693,8.5049561
Unknown,1,3,500.0,47.4148936,8.607261,47.4148547,8.6072027
Unknown,2,3,500.0,47.4148547,8.6072027,47.4152691,8.602746
Unknown,3,3,340.7,47.4152691,8.602746,47.414672,8.6069178
Im Wyl,1,1,264.7,47.3668785,8.5145914,47.3687034,8.512341
Unknown,1,1,169.6,47.4241533,8.6139803,47.4256588,8.6143355
Unknown,1,1,131.3,47.3283025,8.6193724,47.3292114,8.6201019
Unknown,1,1,38.0,47.4314203,8.5772372,47.4314219,8.5777399
Unknown,1,1,39.6,47.3151439,8.4680311,47.3153859,8.4684153
Unknown,1,14,500.0,47.368024,8.4628143,47.3682207,8.4566882
Unknown,2,14,500.0,47.3682207,8.4566882,47.3681697,8.4500692
Unknown,3,14,500.0,47.3681697,8.4500692,47.3680086,8.4504356
Unknown,4,14,500.0,47.3680086,8.4504356,47.3681516,8.4570517
Unknown,5,14,500.0,47.3681516,8.4570517,47.3680297,8.4620585
Unknown,6,14,500.0,47.3680297,8.4620585,47.3680796,8.4554394
Unknown,7,14,500.0,47.3680796,8.4554394,47.3681291,8.4488204
Unknown,8,14,500.0,47.3681291,8.4488204,47.3705953,8.4512275
Unknown,9,14,500.0,47.3705953,8.4512275,47.3696436,8.4573057
Unknown,10,14,500.0,47.3696436,8.4573057,47.3683235,8.4609156
Unknown,11,14,500.0,47.3683235,8.4609156,47.3686303,8.4543116
Unknown,12,14,500.0,47.3686303,8.4543116,47.3689367,8.4477075
Unknown,13,14,500.0,47.3689367,8.4477075,47.369021,8.4452792
Unknown,14,14,490.3,47.369021,8.4452792,47.3658625,8.4464045
Weinplatz,1,1,215.6,47.3718526,8.5418587,47.3717436,8.5428393
Sieberstrasse,1,1,170.4,47.3658391,8.5099797,47.3644839,8.510271
Unknown,1,1,76.3,47.3319356,8.478637,47.3312933,8.4783821
Unknown,1,1,343.2,47.3364739,8.4729733,47.3373362,8.4744851
Wipkingerbrücke,1,1,326.6,47.3923234,8.5237591,47.392295,8.5241292
Schrennengasse,1,1,251.5,47.3688774,8.5170059,47.3703937,8.5146731
Pelikanplatz,1,2,500.0,47.3713118,8.536081,47.3710478,8.5360005
Pelikanplatz,2,2,123.4,47.3710478,8.5360005,47.3715148,8.535791
Turmstrasse,1,1,223.5,47.3998649,8.4692186,47.4005767,8.46645
Schubertstrasse,1,1,221.2,47.3913172,8.5339445,47.3898085,8.5358531
Unknown,1,1,253.2,47.3432128,8.5991138,47.345448,8.5995047
Unknown,1,1,201.3,47.4050664,8.6021467,47.4038034,8.6031617
Feldenmoosstrasse,1,3,500.0,47.3675561,8.4626235,47.3651519,8.4649842
Feldenmoosstrasse,2,3,500.0,47.3651519,8.4649842,47.3642588,8.4665646
Feldenmoosstrasse,3,3,155.2,47.3642588,8.4665646,47.3651365,8.4649948
Unknown,1,4,500.0,47.4348084,8.6197998,47.4316022,8.615176
Unknown,2,4,500.0,47.4316022,8.615176,47.4290805,8.6096893
Unknown,3,4,500.0,47.4290805,8.6096893,47.4258417,8.6051901
Unknown,4,4,256.3,47.4258417,8.6051901,47.4240112,8.6031247
Unknown,1,2,500.0,47.408911,8.6009115,47.4092811,8.6005743
Unknown,2,2,46.3,47.4092811,8.6005743,47.4088695,8.6006322
Russenbrünnelistrasse,1,1,55.9,47.4236169,8.485013,47.4231247,8.4848657
Unknown,1,2,500.0,47.3943336,8.6274249,47.3946859,8.6278774
Unknown,2,2,195.5,47.3946859,8.6278774,47.3933146,8.6263901
Wegackerstrasse,1,1,337.0,47.3350015,8.5182928,47.3336798,8.5143118
Unknown,1,1,64.9,47.4173405,8.5853832,47.4176322,8.5846386
Unknown,1,1,275.5,47.4424864,8.6249391,47.4435087,8.6281128
Oberer Bodenweg,1,1,470.8,47.4157982,8.4772411,47.4150607,8.4772216
Krokusweg,1,2,500.0,47.4013448,8.5505366,47.4058018,8.5510692
Krokusweg,2,2,92.7,47.4058018,8.5510692,47.406594,8.5514511
Hätzlergasse,1,1,467.6,47.3906961,8.4672539,47.3942094,8.4653991
Unknown,1,1,371.0,47.3297787,8.6213865,47.3303911,8.617124
Unknown,1,1,178.8,47.3292114,8.6201019,47.3296608,8.6221839
Spiegelgasse,1,1,178.2,47.3724745,8.5457659,47.3715474,8.5439154
Unknown,1,1,249.8,47.4183938,8.5918668,47.4196332,8.5891091
Unknown,1,2,500.0,47.4443551,8.5140473,47.4468127,8.5194585
Unknown,2,2,0.4,47.4468127,8.5194585,47.4468139,8.5194633
Schreinerstrasse,1,1,480.2,47.3758895,8.5253374,47.3779136,8.5197234
Unknown,1,1,467.3,47.4251586,8.5631237,47.4267548,8.5680086
Unknown,1,1,85.7,47.4483129,8.6052194,47.4484899,8.6063246
Unknown,1,1,338.4,47.3393725,8.473602,47.3411646,8.4771535
Unknown,1,1,173.9,47.3885581,8.6273946,47.3892271,8.6292183
Westbühlstrasse,1,2,500.0,47.3260107,8.5407326,47.3303486,8.5390192
Westbühlstrasse,2,2,166.2,47.3303486,8.5390192,47.3316622,8.5380085
Elefantenweg,1,1,145.5,47.3598409,8.5761325,47.3587564,8.576012
Unter Betentalweg,1,2,500.0,47.3795881,8.4476836,47.3793888,8.4539711
Unter Betentalweg,2,2,432.4,47.3793888,8.4539711,47.3799283,8.4595529
Unknown,1,1,218.6,47.3973189,8.6194777,47.3982044,8.6210129
Reinhardstrasse,1,1,179.5,47.362557,8.5502794,47.3632197,8.5524459
Geeringsteig,1,1,111.6,47.4148701,8.4757185,47.4158369,8.4757337
David-Hess-Weg,1,1,204.8,47.3337312,8.5323277,47.3350525,8.5311614
Pilgerweg,1,1,429.2,47.3786404,8.5690718,47.3793046,8.5740343
Langfurren,1,1,294.0,47.4010681,8.5437406,47.40298,8.5410671
Kugelfangweg,1,2,500.0,47.3822917,8.5772932,47.3847236,8.5821423
Kugelfangweg,2,2,413.9,47.3847236,8.5821423,47.3878153,8.5820404
Spiegelhofstrasse,1,5,500.0,47.3735368,8.5614946,47.3760389,8.5665846
Spiegelhofstrasse,2,5,500.0,47.3760389,8.5665846,47.3745288,8.5626835
Spiegelhofstrasse,3,5,500.0,47.3745288,8.5626835,47.3713384,8.5580178
Spiegelhofstrasse,4,5,500.0,47.3713384,8.5580178,47.3718437,8.5597077
Spiegelhofstrasse,5,5,453.2,47.3718437,8.5597077,47.3734596,8.56155
Unknown,1,1,323.9,47.3328536,8.4771732,47.3300215,8.4778469
Unknown,1,2,500.0,47.3479391,8.6180859,47.3493553,8.6243297
Unknown,2,2,144.3,47.3493553,8.6243297,47.3497888,8.6261269
Unknown,1,1,173.9,47.4229976,8.5737471,47.4223002,8.5757618
Im Schilf,1,1,162.9,47.3816375,8.5568404,47.3821823,8.5549933
Unknown,1,1,428.0,47.4380413,8.5066189,47.4399837,8.502845
Krähbühlstrasse,1,1,395.3,47.3788703,8.5731146,47.381002,8.569391
Redingstrasse,1,1,131.8,47.3490042,8.5265919,47.3492027,8.5248932
Rundweg,1,1,245.2,47.4290388,8.5257766,47.4300282,8.5279293
Unknown,1,1,97.7,47.4425251,8.6303475,47.4418568,8.6296335
Unknown,1,1,388.0,47.3260137,8.5964272,47.3235417,8.6000333
Unknown,1,2,500.0,47.3310574,8.5999504,47.3339278,8.6005725
Unknown,2,2,226.4,47.3339278,8.6005725,47.3343281,8.6031751
Unknown,1,2,500.0,47.4229245,8.4495803,47.4216986,8.4514144
Unknown,2,2,450.8,47.4216986,8.4514144,47.4229245,8.4495803
Piccoloweg,1,1,112.3,47.416352,8.5332793,47.4173446,8.5330037
Unknown,1,3,500.0,47.3160596,8.5971083,47.3164504,8.5953404
Unknown,2,3,500.0,47.3164504,8.5953404,47.3170343,8.5969053
Unknown,3,3,498.6,47.3170343,8.5969053,47.3167593,8.5960714
Unknown,1,1,248.5,47.408125,8.4588612,47.4103052,8.4592832
Unknown,1,1,255.7,47.4367979,8.6292164,47.4378874,8.6308506
Eschergutweg,1,35,500.0,47.3896908,8.5284846,47.3869848,8.5335144
Eschergutweg,2,35,500.0,47.3869848,8.5335144,47.3886146,8.5279036
Eschergutweg,3,35,500.0,47.3886146,8.5279036,47.3904457,8.5218553
Eschergutweg,4,35,500.0,47.3904457,8.5218553,47.3922765,8.5158066
Eschergutweg,5,35,500.0,47.3922765,8.5158066,47.394107,8.5097575
Eschergutweg,6,35,500.0,47.394107,8.5097575,47.3959371,8.5037079
Eschergutweg,7,35,500.0,47.3959371,8.5037079,47.397767,8.497658
Eschergutweg,8,35,500.0,47.397767,8.497658,47.3995965,8.4916076
Eschergutweg,9,35,500.0,47.3995965,8.4916076,47.401917,8.486106
Eschergutweg,10,35,500.0,47.401917,8.486106,47.4040203,8.4803244
Eschergutweg,11,35,500.0,47.4040203,8.4803244,47.4030866,8.4822868
Eschergutweg,12,35,500.0,47.4030866,8.4822868,47.4013635,8.4884049
Eschergutweg,13,35,500.0,47.4013635,8.4884049,47.39964,8.4945227
Eschergutweg,14,35,500.0,47.39964,8.4945227,47.3979162,8.5006401
Eschergutweg,15,35,500.0,47.3979162,8.5006401,47.3961921,8.506757
Eschergutweg,16,35,500.0,47.3961921,8.506757,47.3952539,8.5079439
Eschergutweg,17,35,500.0,47.3952539,8.5079439,47.3966691,8.5022453
Eschergutweg,18,35,500.0,47.3966691,8.5022453,47.3991497,8.4969782
Eschergutweg,19,35,500.0,47.3991497,8.4969782,47.3981875,8.5002423
Eschergutweg,20,35,500.0,47.3981875,8.5002423,47.396598,8.5064379
Eschergutweg,21,35,500.0,47.396598,8.5064379,47.3950082,8.5126331
Eschergutweg,22,35,500.0,47.3950082,8.5126331,47.393062,8.5184797
Eschergutweg,23,35,500.0,47.393062,8.5184797,47.3915534,8.5244664
Eschergutweg,24,35,500.0,47.3915534,8.5244664,47.3893613,8.5290242
Eschergutweg,25,35,500.0,47.3893613,8.5290242,47.3863961,8.5339953
Eschergutweg,26,35,500.0,47.3863961,8.5339953,47.3834233,8.5389246
Eschergutweg,27,35,500.0,47.3834233,8.5389246,47.3843548,8.5353421
Eschergutweg,28,35,500.0,47.3843548,8.5353421,47.3864695,8.5294983
Eschergutweg,29,35,500.0,47.3864695,8.5294983,47.388584,8.523654
Eschergutweg,30,35,500.0,47.388584,8.523654,47.3906981,8.5178093
Eschergutweg,31,35,500.0,47.3906981,8.5178093,47.392812,8.5119641
Eschergutweg,32,35,500.0,47.392812,8.5119641,47.3949255,8.5061184
Eschergutweg,33,35,500.0,47.3949255,8.5061184,47.3970388,8.5002723
Eschergutweg,34,35,500.0,47.3970388,8.5002723,47.3991517,8.4944257
Eschergutweg,35,35,130.8,47.3991517,8.4944257,47.3996368,8.4929287
Buckhauserstrasse,1,2,500.0,47.3858373,8.4929453,47.3857756,8.4930966
Buckhauserstrasse,2,2,170.9,47.3857756,8.4930966,47.3871371,8.4941464
Unknown,1,1,317.0,47.4263308,8.4667391,47.4260693,8.4694093
Erismannstrasse,1,1,442.6,47.380412,8.5197568,47.3770151,8.5167723
Geissbergstrasse,1,2,500.0,47.4223446,8.4795189,47.4259672,8.4769214
Geissbergstrasse,2,2,55.5,47.4259672,8.4769214,47.4264386,8.4771629
Unknown,1,1,105.8,47.3222119,8.5919563,47.3222261,8.5931988
Unknown,1,2,500.0,47.3437148,8.5840153,47.341548,8.5894714
Unknown,2,2,305.2,47.341548,8.5894714,47.3429613,8.5928538
Unknown,1,1,250.6,47.4180237,8.5982391,47.4170099,8.6011266
Unknown,1,1,196.9,47.4471156,8.5797181,47.4472945,8.5804848
Werdgässchen,1,2,500.0,47.3713668,8.5276986,47.3712655,8.5291821
Werdgässchen,2,2,40.5,47.3712655,8.5291821,47.3713435,8.5286658
Unknown,1,3,500.0,47.4493382,8.4686381,47.4480364,8.4749347
Unknown,2,3,500.0,47.4480364,8.4749347,47.4465773,8.4809065
Unknown,3,3,111.3,47.4465773,8.4809065,47.4459402,8.4820439
Schächenstrasse,1,1,140.6,47.3885357,8.4780649,47.389279,8.4765594
Ferdinand-Hodler-Strasse,1,1,403.3,47.402923,8.4998999,47.4054824,8.5032729
Meiliweg,1,1,220.1,47.3668278,8.5153728,47.3676522,8.518011
Asternweg,1,1,140.8,47.4049492,8.5442913,47.4041986,8.545159
Unknown,1,1,227.2,47.3211369,8.5228855,47.3197563,8.5221201
Tannenstrasse,1,1,241.8,47.3770284,8.5465579,47.3771232,8.5473123
Walchetreppe,1,1,47.8,47.3795653,8.5421384,47.3797576,8.5425519
Lerchenrain,1,1,299.0,47.4151051,8.5062301,47.4137724,8.5096041
Unknown,1,1,399.0,47.4459908,8.525443,47.4444248,8.5207524
Moosbergerweg,1,1,80.9,47.3892955,8.5336149,47.3897596,8.5344397
Bederstrasse,1,7,500.0,47.3648174,8.5309283,47.3637807,8.5291024
Bederstrasse,2,7,500.0,47.3637807,8.5291024,47.3643651,8.5298381
Bederstrasse,3,7,500.0,47.3643651,8.5298381,47.3614038,8.5256531
Bederstrasse,4,7,500.0,47.3614038,8.5256531,47.3625745,8.5270589
Bederstrasse,5,7,500.0,47.3625745,8.5270589,47.3602751,8.5237239
Bederstrasse,6,7,500.0,47.3602751,8.5237239,47.3633669,8.5285104
Bederstrasse,7,7,248.1,47.3633669,8.5285104,47.3648174,8.5309283
Bülachstrasse,1,7,500.0,47.3998045,8.5443294,47.3995428,8.5433643
Bülachstrasse,2,7,500.0,47.3995428,8.5433643,47.4001185,8.5476241
Bülachstrasse,3,7,500.0,47.4001185,8.5476241,47.3995055,8.5478398
Bülachstrasse,4,7,500.0,47.3995055,8.5478398,47.4002489,8.5462326
Bülachstrasse,5,7,500.0,47.4002489,8.5462326,47.4003591,8.5486311
Bülachstrasse,6,7,500.0,47.4003591,8.5486311,47.3988496,8.5474009
Bülachstrasse,7,7,236.2,47.3988496,8.5474009,47.4001101,8.5486672
Unknown,1,3,500.0,47.3600727,8.455798,47.3639545,8.4581609
Unknown,2,3,500.0,47.3639545,8.4581609,47.3679818,8.4555668
Unknown,3,3,442.9,47.3679818,8.4555668,47.3706846,8.4513583
Unknown,1,1,254.5,47.3281827,8.6115102,47.3269948,8.6091362
Unknown,1,1,414.7,47.3223504,8.4931687,47.3236231,8.4901722
Huebweg,1,2,500.0,47.3642071,8.4694689,47.3659904,8.474959
Huebweg,2,2,205.5,47.3659904,8.474959,47.3677367,8.4753319
Unknown,1,1,136.5,47.3966786,8.4480496,47.396664,8.4462427
Forrenweidstrasse,1,2,500.0,47.380737,8.5784388,47.3837868,8.5743214
